group,Source,Record.Type,ID,species,spp,Latitude,Longitude,Collector,Date collected,Sex,Data.Resource.Name
ALA,Atlas of Living Australia,Museum Record,R129801,foliosquama,Aipysurus foliosquama,-12.3,123,"Berry ,P.F. et al.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R129802,foliosquama,Aipysurus foliosquama,-12.3,123,"Berry ,P.F. et al.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R129806,foliosquama,Aipysurus foliosquama,-12.3,123,"Berry ,P.F. et al.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R129803,foliosquama,Aipysurus foliosquama,-12.3,123,"Berry ,P.F. et al.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R129804,fuscus,Aipysurus fuscus,-12.533333,123.55,"Berry ,P.F. et al.",1986-09-20,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.8994,foliosquama,Aipysurus foliosquama,-12.25,123,"Smith, M.H.",,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R9699,foliosquama,Aipysurus foliosquama,-12.3,123,"Shipway, B.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R95386,tenuis,Aipysurus tenuis,-17.966667,122.233333,"Menkhorst, K.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R98782,tenuis,Aipysurus tenuis,-17.95,122.2,"Lewington, J.",1988-04-02,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R93503,fuscus,Aipysurus fuscus,-13.666667,121.841667,"Berry ,P.F. et al.",1984-09-13,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,,tenuis,Aipysurus tenuis,-18.01,122.16,,1988-04-01,,
ALA,Atlas of Living Australia,Museum Record,R.41534,fuscus,Aipysurus fuscus,-14,121.833,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R93523,fuscus,Aipysurus fuscus,-14.083333,121.833333,"Berry ,P.F. et al.",1984-09-16,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R93513,fuscus,Aipysurus fuscus,-14.083333,121.833333,"Berry ,P.F. et al.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44484,fuscus,Aipysurus fuscus,-10.583,142.216,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.104810,foliosquama,Aipysurus foliosquama,-19.6,118.1,"Paxton, J.",,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R22961,apraefrontalis,Aipysurus apraefrontalis,-20.6,117.2,"Ball, S.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J80569,apraefrontalis,Aipysurus apraefrontalis,-19.7,116.7,,,Male,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R73660,tenuis,Aipysurus tenuis,-19.533333,116.7,"Cliff, M.",1979-10-24,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R73667,apraefrontalis,Aipysurus apraefrontalis,-19.6,116.7,"Cliff, M.",,Female,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R73659,tenuis,Aipysurus tenuis,-20,116.666667,"Cliff, M.",,Male,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R76480,tenuis,Aipysurus tenuis,-20.116667,116.166667,"Sinclair ,N.",1981-03-09,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R150365,foliosquama,Aipysurus foliosquama,-20.9,115.3,"Mould, L. and Teale, R.",,Female,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R29931,pooleorum,Aipysurus laevis pooleorum,-26,114.333333,"Poole ,W.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R26415,apraefrontalis,Aipysurus apraefrontalis,-22,114.3,"Bathgate, D.G.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R154750,apraefrontalis,Aipysurus apraefrontalis,-21.9,114.3,"Morrison ,S.",,Female,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R43897,apraefrontalis,Aipysurus apraefrontalis,-22.1,114.3,"Barrett-Lennard, F.",,,Western Australian Museum provider for OZCAM
